0,1,2,3,age,final_weight,education_num,capitol_gain,capitol_loss,hours_per_week,work_class_Federal-gov,work_class_Local-gov,work_class_Private,work_class_Self-emp-inc,work_class_Self-emp-not-inc,work_class_State-gov,work_class_Without-pay,marital_status_Divorced,marital_status_Married-AF-spouse,marital_status_Married-civ-spouse,marital_status_Married-spouse-absent,marital_status_Never-married,marital_status_Separated,marital_status_Widowed,relationship_Husband,relationship_Not-in-family,relationship_Other-relative,relationship_Own-child,relationship_Unmarried,relationship_Wife,sex_Female,sex_Male,occupation_Professional_Managerial,occupation_Sales_Administrative,occupation_Service_Care,occupation_Skilled_Technical,occupation_Unclassified Occupations,y
0,1,0,0,0.4931506849315069,0.1497919978766449,0.4,0.0,0.0,0.3979591836734693,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,1,0,0,0.1506849315068493,0.2199981312309229,0.8,0.0,0.0,0.3979591836734693,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
0,1,0,0,0.4383561643835617,0.0993257535337339,0.2666666666666666,0.0,0.0,0.1530612244897959,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
0,1,0,0,0.273972602739726,0.1807641369672315,0.6,0.0,0.0,0.8061224489795917,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,0,0,0,0.1780821917808219,0.0865355188000877,0.8,0.0,0.0,0.3979591836734693,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
0,1,0,0,0.2054794520547945,0.1296810634108556,0.7333333333333334,0.0,0.0,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
0,0,1,0,0.2328767123287671,0.1570815514575044,0.2,0.0,0.0,0.4489795918367346,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,1,0.2054794520547945,0.1173614063976903,0.5333333333333333,0.0,0.0,0.3979591836734693,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0,1,0,0,0.5068493150684932,0.1954448076657449,0.5333333333333333,0.0,0.0,0.1938775510204081,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
0,1,0,0,0.2465753424657534,0.0428956983102535,0.2666666666666666,0.0,0.0,0.3979591836734693,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,0,1,0.5753424657534245,0.064677691501434,0.5333333333333333,0.0,0.0,0.3979591836734693,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0,0,0,1,0.5342465753424657,0.1376923951932009,0.8,0.0,0.0,0.3979591836734693,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,1,0.4383561643835617,0.1217909307824184,0.5333333333333333,0.0,0.0,0.3979591836734693,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
0,1,0,0,0.0410958904109589,0.1709808600129459,0.6,0.0,0.0,0.4387755102040815,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
0,0,0,1,0.3835616438356165,0.2528579979253955,0.8,0.0,0.3232323232323232,0.3979591836734693,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
0,0,0,1,0.1780821917808219,0.0314569357062186,0.6,0.0,0.0,0.3979591836734693,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
0,1,0,0,0.0684931506849315,0.2017864349031896,0.6,0.0,0.0,0.1428571428571428,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,0,1,0.4246575342465753,0.1706165854609765,0.7333333333333334,0.0,0.0,0.3979591836734693,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,1,0.4931506849315069,0.0507912476606531,0.8,0.0,0.0,0.3979591836734693,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
0,1,0,0,0.547945205479452,0.2196501068448406,0.8,0.0,0.0,0.3979591836734693,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,1,0,0.1095890410958904,0.0127177860773995,0.6,0.0,0.0,0.3979591836734693,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
0,0,0,1,0.3972602739726027,0.1375671334978211,0.1333333333333333,0.0,0.0,0.3979591836734693,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,1,0.3287671232876712,0.0906488420402625,0.5333333333333333,0.0,0.0,0.4795918367346938,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,1,0.1780821917808219,0.1182565197019719,0.5333333333333333,0.050130501305013,0.0,0.3979591836734693,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,1,0.2602739726027397,0.0961772838931064,0.5333333333333333,0.0,0.0,0.3979591836734693,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,1,0.1506849315068493,0.1148907040926042,0.6,0.0,0.0,0.3979591836734693,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,1,0.0273972602739726,0.0595954521202403,0.6,0.0,0.0,0.3163265306122448,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
